iter	Passed	Remaining
400	18976	28345
401	19020	28294
402	19066	28245
403	19112	28195
404	19160	28148
405	19205	28098
406	19251	28048
407	19296	27998
408	19340	27946
409	19388	27900
410	19435	27852
411	19480	27802
412	19524	27749
413	19568	27698
414	19615	27650
415	19663	27604
416	19706	27551
417	19752	27502
418	19796	27450
419	19842	27402
420	19889	27353
421	19933	27302
422	19983	27259
423	20030	27210
424	20079	27165
425	20125	27117
426	20170	27067
427	20215	27016
428	20261	26968
429	20309	26921
430	20356	26874
431	20401	26823
432	20446	26773
433	20491	26723
434	20537	26674
435	20584	26627
436	20628	26576
437	20674	26526
438	20717	26474
439	20765	26428
440	20811	26380
441	20857	26331
442	20900	26278
443	20944	26228
444	20992	26181
445	21039	26133
446	21083	26082
447	21127	26031
448	21172	25981
449	21218	25933
450	21265	25886
451	21309	25835
452	21354	25786
453	21398	25734
454	21445	25686
455	21492	25639
456	21537	25590
457	21581	25539
458	21624	25488
459	21673	25442
460	21718	25393
461	21766	25346
462	21810	25296
463	21857	25248
464	21904	25201
465	21952	25155
466	21995	25103
467	22039	25053
468	22084	25004
469	22131	24956
470	22183	24915
471	22227	24865
472	22273	24815
473	22317	24766
474	22366	24720
475	22411	24670
476	22456	24622
477	22500	24571
478	22542	24519
479	22590	24472
480	22636	24424
481	22682	24376
482	22726	24326
483	22772	24277
484	22820	24231
485	22868	24186
486	22913	24137
487	22957	24086
488	23000	24035
489	23047	23988
490	23096	23942
491	23152	23905
492	23204	23863
493	23250	23815
494	23304	23774
495	23351	23728
496	23395	23678
497	23442	23631
498	23493	23588
499	23538	23538
500	23582	23488
501	23627	23438
502	23673	23391
503	23721	23344
504	23768	23297
505	23813	23248
506	23857	23198
507	23902	23149
508	23952	23105
509	23998	23057
510	24043	23008
511	24087	22958
512	24131	22908
513	24180	22863
514	24226	22815
515	24271	22766
516	24316	22717
517	24363	22670
518	24415	22627
519	24464	22582
520	24507	22532
521	24553	22483
522	24597	22434
523	24644	22387
524	24690	22338
525	24734	22289
526	24779	22240
527	24822	22189
528	24870	22143
529	24917	22096
530	24963	22048
531	25007	21999
532	25051	21949
533	25098	21902
534	25147	21857
535	25191	21807
536	25236	21759
537	25281	21710
538	25329	21664
539	25374	21615
540	25418	21565
541	25464	21518
542	25508	21468
543	25555	21421
544	25602	21374
545	25647	21325
546	25692	21277
547	25737	21228
548	25783	21181
549	25830	21133
550	25874	21084
551	25918	21035
552	25962	20986
553	26009	20939
554	26055	20891
555	26099	20842
556	26144	20793
557	26188	20744
558	26235	20697
559	26283	20650
560	26327	20601
561	26371	20553
562	26415	20503
563	26464	20458
564	26511	20411
565	26557	20363
566	26602	20315
567	26646	20266
568	26694	20220
569	26741	20173
570	26785	20124
571	26828	20074
572	26873	20026
573	26919	19978
574	26966	19931
575	27009	19882
576	27056	19834
577	27100	19786
578	27147	19739
579	27193	19691
580	27238	19643
581	27281	19594
582	27325	19545
583	27373	19499
584	27421	19453
585	27468	19406
586	27511	19356
587	27556	19308
588	27586	19249
589	27634	19203
590	27678	19155
591	27726	19109
592	27771	19061
593	27818	19013
594	27863	18966
595	27907	18917
596	27953	18869
597	27998	18821
598	28045	18774
599	28090	18727
600	28135	18678
601	28181	18631
602	28230	18586
603	28284	18543
604	28331	18497
605	28377	18450
606	28423	18402
607	28468	18354
608	28520	18310
609	28568	18265
610	28613	18217
611	28659	18169
612	28703	18120
613	28752	18075
614	28803	18031
615	28853	17986
616	28898	17938
617	28943	17890
618	28991	17844
619	29038	17797
620	29081	17748
621	29126	17700
622	29171	17652
623	29218	17605
624	29265	17559
625	29309	17511
626	29354	17462
627	29399	17414
628	29447	17369
629	29492	17321
630	29537	17273
631	29581	17224
632	29627	17177
633	29676	17131
634	29724	17085
635	29768	17037
636	29812	16988
637	29858	16941
638	29906	16895
639	29954	16849
640	29997	16800
641	30043	16753
642	30088	16705
643	30135	16658
644	30183	16612
645	30228	16564
646	30273	16517
647	30318	16469
648	30367	16423
649	30413	16376
650	30458	16328
651	30502	16280
652	30548	16233
653	30595	16186
654	30642	16139
655	30686	16091
656	30732	16044
657	30775	15995
658	30822	15949
659	30869	15902
660	30913	15854
661	30958	15806
662	31002	15758
663	31049	15711
664	31097	15665
665	31142	15618
666	31187	15570
667	31231	15522
668	31279	15476
669	31324	15428
670	31369	15380
671	31413	15332
672	31458	15285
673	31505	15238
674	31552	15191
675	31596	15143
676	31642	15096
677	31686	15048
678	31733	15002
679	31780	14955
