iter	MultiClass
0	1.564357618
1	1.531322231
2	1.507933266
3	1.482816315
4	1.462171453
5	1.433818473
6	1.409264228
7	1.37276665
8	1.356789218
9	1.315553195
10	1.291167948
11	1.270973044
12	1.243431677
13	1.229008085
14	1.213166654
15	1.183464826
16	1.168510187
17	1.143576674
18	1.11308146
19	1.093719243
20	1.069048615
21	1.039149489
22	1.011879055
23	0.9858285977
24	0.9784862534
25	0.9612639793
26	0.9286971242
27	0.9057986956
28	0.8895136145
29	0.8713534433
30	0.8598437603
31	0.8405295957
32	0.8307561524
33	0.7988376334
34	0.7847501681
35	0.770572065
36	0.7493685916
37	0.7291650327
38	0.7128096575
39	0.691736396
40	0.6707610364
41	0.6504647141
42	0.6342538968
43	0.6178527724
44	0.6037316351
45	0.5921442496
46	0.5748394237
47	0.558170169
48	0.5439551892
49	0.5289637482
50	0.513503309
51	0.4956372466
52	0.4851265333
53	0.4686270551
54	0.459565415
55	0.4442216695
56	0.4311010547
57	0.4158038347
58	0.4024959286
59	0.3941633751
60	0.3832938245
61	0.3746088581
62	0.3640646011
63	0.3542675711
64	0.344670969
65	0.3341808234
66	0.3244585135
67	0.3170196366
68	0.3078591851
69	0.3006983357
70	0.2925972877
71	0.2857133176
72	0.279657784
73	0.2721981958
74	0.2661402607
75	0.2600063011
76	0.2524122292
77	0.2472328186
78	0.243513097
79	0.2382412115
80	0.2342346473
81	0.228697879
82	0.2241227126
83	0.2193199268
84	0.2144380546
85	0.2108899208
86	0.2065774723
87	0.2031839329
88	0.1992341775
89	0.1954405791
90	0.1906271697
91	0.1876345191
92	0.1845753035
93	0.1811397058
94	0.1776500667
95	0.1738283934
96	0.1709427915
97	0.1673039561
98	0.1640614273
99	0.1614484926
100	0.1593767733
101	0.1561662109
102	0.1538126919
103	0.1520421828
104	0.1495219786
105	0.1471948592
106	0.1449467611
107	0.1431306105
108	0.1412531404
109	0.1390160738
110	0.1364683025
111	0.1342158247
112	0.1322689152
113	0.1303013423
114	0.1283347755
115	0.1267393299
116	0.1251742393
117	0.1234958835
118	0.1216170215
119	0.1198503942
120	0.1179757564
121	0.1162687941
122	0.1143975675
123	0.1127187907
124	0.1114682819
125	0.1101745111
126	0.1088010014
127	0.1077872843
128	0.1065388241
129	0.105527911
130	0.1042835872
131	0.1028180688
132	0.1016798103
133	0.1004090871
134	0.09906064216
135	0.097729252
136	0.09677619351
137	0.0957267405
138	0.09479878031
139	0.09372924954
140	0.09299968412
141	0.0917409998
142	0.09070135243
143	0.08979546717
144	0.08871487395
145	0.08751531055
146	0.08649439352
147	0.08572506721
148	0.08507505068
149	0.08437635892
150	0.08319322424
151	0.08228885979
152	0.08126976803
153	0.08054868955
154	0.07964441707
155	0.07887190756
156	0.07816211764
157	0.07737659994
158	0.07684449374
159	0.07622850217
160	0.07560378466
161	0.07502187232
162	0.0744170842
163	0.07377502175
164	0.07331820356
165	0.07260360912
166	0.07192413903
167	0.07126390515
168	0.07076326453
169	0.06999879457
170	0.06930366978
171	0.06861989513
172	0.06799375088
173	0.06730507714
174	0.06674912231
175	0.06632453148
176	0.06570979819
177	0.06541500134
178	0.06483421005
179	0.06430812112
180	0.06383867649
181	0.06336826065
182	0.06292678299
183	0.0626161807
184	0.0621272438
185	0.06175684175
186	0.06126572154
187	0.06082046946
188	0.06034190657
189	0.05977407599
190	0.05924502431
191	0.05872403137
192	0.05831926248
193	0.05784899587
194	0.05743782235
195	0.05706148728
196	0.05657827822
197	0.0560354
198	0.05554343427
199	0.05514637167
200	0.05466683336
201	0.05422711127
202	0.05389526044
203	0.05351349382
204	0.05330174866
205	0.05284906545
206	0.05257572748
207	0.05223384919
208	0.05188571904
209	0.05147937576
210	0.05108159725
211	0.05075085535
212	0.05035674692
213	0.04998914535
214	0.04958923384
215	0.04922149784
216	0.04889727422
217	0.04858126592
218	0.04824953954
219	0.04792037878
220	0.04752575198
221	0.04723704565
222	0.04684800113
223	0.04666519597
224	0.04636185891
225	0.04610116577
226	0.0458669454
227	0.04549920441
228	0.04518850396
229	0.04488280281
230	0.04457902264
231	0.044394672
232	0.0441157616
233	0.04382735474
234	0.04358465857
235	0.04328154117
236	0.04304716976
237	0.04271556043
238	0.04247287301
239	0.04223451712
240	0.04196574466
241	0.04169587466
242	0.04146052444
243	0.04124415201
244	0.04105975127
245	0.04083575004
246	0.04063898469
247	0.04038955313
248	0.04015972392
249	0.0399291326
250	0.03973429053
251	0.03949521725
252	0.03930646217
253	0.03907889974
254	0.03887457143
255	0.03863681029
256	0.03837950501
257	0.03816085369
258	0.03797226902
259	0.03775246367
260	0.0375417159
261	0.03736315496
262	0.03710803962
263	0.03692054481
264	0.03674897114
265	0.03657286428
266	0.03643207879
267	0.03626332576
268	0.036090049
269	0.03592230315
270	0.03579641362
271	0.03556778642
272	0.03539181457
273	0.03522193272
274	0.03501540051
275	0.03484050563
276	0.03465798386
277	0.03448258701
278	0.03432774462
279	0.03413797745
280	0.03400831676
281	0.03381106392
282	0.033632267
283	0.03348396063
284	0.03334183372
285	0.03321765771
286	0.0330554608
287	0.0329473959
288	0.03280733666
289	0.0326706676
290	0.03250074423
291	0.03233069447
292	0.03216818643
293	0.03200022888
294	0.03185130939
295	0.03171133842
296	0.03154231052
297	0.03141598175
298	0.03123321219
299	0.03110466245
300	0.03094620039
301	0.03078999432
302	0.03063756055
303	0.03051650043
304	0.03040396523
305	0.03028176172
306	0.03016114011
307	0.03007851246
308	0.02996424883
309	0.02984137868
310	0.02973249363
311	0.02960417849
312	0.0295208939
313	0.02937881583
314	0.02929876667
315	0.02919129953
316	0.02908380884
317	0.02896784394
318	0.02885973938
319	0.02873260667
320	0.02861305058
321	0.02849015914
322	0.02836745254
323	0.02827074837
324	0.02818341478
325	0.0280614455
326	0.02795215559
327	0.02781917828
328	0.02772514518
329	0.02762165244
330	0.02754492803
331	0.02744393871
332	0.02735911745
333	0.02728229327
334	0.02716024924
335	0.027047002
336	0.02692797163
337	0.02680876317
338	0.02671634046
339	0.02659664516
340	0.0265058497
341	0.02641109891
342	0.02629460691
343	0.02618549337
344	0.02609509647
345	0.02597520283
346	0.02587690225
347	0.02578545094
348	0.0256900849
349	0.02563201325
350	0.02552633653
351	0.02543024314
352	0.02531861128
353	0.02522722066
354	0.02512794724
355	0.02503914167
356	0.02496208304
357	0.02487303408
358	0.02477488802
359	0.02468854186
360	0.02461589419
361	0.02453313103
362	0.02446489189
363	0.02436891403
364	0.0242804468
365	0.02418872845
366	0.02410337893
367	0.02400774904
368	0.02392743215
369	0.02386199311
370	0.0237984172
371	0.02370596336
372	0.02363682245
373	0.02354256534
374	0.0234853845
375	0.02340862936
376	0.02335096476
377	0.02326328487
378	0.02318116471
379	0.02310406557
380	0.02303673981
381	0.02297691099
382	0.02287604038
383	0.02277215663
384	0.02269102596
385	0.02261650026
386	0.02255656846
387	0.02247584384
388	0.02240090675
389	0.02232281895
390	0.02225666099
391	0.02218394564
392	0.02210203001
393	0.02203026045
394	0.02194586488
395	0.02187345751
396	0.02180780331
397	0.02174613815
398	0.02166050891
399	0.02158786017
400	0.02152551708
401	0.02146464673
402	0.02141078569
403	0.0213597442
404	0.0213139682
405	0.02123486137
406	0.02117665275
407	0.02110770015
408	0.02103341424
409	0.02097582615
410	0.02090992656
411	0.02083677534
412	0.02077446482
413	0.02071062395
414	0.02065148847
415	0.02060353523
416	0.02054692613
417	0.02047482329
418	0.02042754753
419	0.02036593203
420	0.02030586626
421	0.020264626
422	0.02020419837
423	0.02014239041
424	0.02009663316
425	0.02003481255
426	0.01996971717
427	0.01990870339
428	0.0198585316
429	0.01979722756
430	0.01974360247
431	0.01968964746
432	0.01963797293
433	0.01957308808
434	0.01951599096
435	0.01947536283
436	0.01942923776
437	0.01937289215
438	0.01932731194
439	0.01928488032
